,country_code,sector_id,to_node,Industry,unit_energy_use_converted,energy_use_converted,energy_carrier_tc,energy_carrier_EB,2025,2030,2040,2050
11,AT,non-ferrous-metals,alumina,alumina-production-alternative,mwh_t,,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
12,AT,non-ferrous-metals,alumina,alumina-production-alternative,mwh_t,,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
13,AT,non-ferrous-metals,alumina,alumina-production-alternative,mwh_t,,CH4,natural_gas,10.273972602739727,10.273972602739727,10.273972602739727,10.273972602739727
14,AT,non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,mwh_t,,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
15,AT,non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,mwh_t,,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
16,AT,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,mwh_t,1.6019489364767225,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
17,AT,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,mwh_t,0.0017405052731083975,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
18,AT,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,mwh_t_lead_eq,3.919409367781102,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
19,AT,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,mwh_t_lead_eq,0.004582258856471048,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
20,AT,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,mwh_t_bricks_eq,0.42357720976678787,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
21,AT,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,mwh_t_bricks_eq,0.012738913418315703,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
22,AT,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,mwh_mwh,2.3263203976177005,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
23,AT,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,mwh_mwh,0.0255883229753206,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
24,AT,pulp-and-paper,paper,paper-production-alternative,mwh_t,0.16625720380966652,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
25,AT,pulp-and-paper,paper,paper-production-alternative,mwh_t,0.7054241557771544,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
26,AT,pulp-and-paper,printing-and-media,printing-and-media-production-alternative,mwh_t_paper_eq,1.0625754155271623,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
27,AT,pulp-and-paper,printing-and-media,printing-and-media-production-alternative,mwh_t_paper_eq,0.13318387661558567,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
