country_code,sector_id,to_node,Industry,actual_capacity,unit_capacity,conversion_production,actual_capacity_converted,unit,2018
CY,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,808.7799423785334,kt bricks eq.,1.0,808.7799423785334,kt_bricks_eq_yr,808.7799423785334
CY,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,461.1693040557784,TJ,277.78,128103.60928061411,mwh_yr,128103.60928061411
CY,pulp-and-paper,paper,paper-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
CY,pulp-and-paper,printing-and-media,printing-and-media-production-reference,6.570953544738511,kt paper eq.,1.0,6.570953544738511,kt_paper_eq_yr,6.570953544738511
CY,pulp-and-paper,pulp,pulp-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
CY,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,8.304572778868094,TJ,277.78,2306.844226513979,mwh_yr,2306.844226513979
CY,transport-equipment,transport-equipment,transport-equipment-production-reference,3.549469539477923,TJ,277.78,985.9716486761773,mwh_yr,985.9716486761773
CY,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,10.733662519364806,TJ,277.78,2981.5967746291553,mwh_yr,2981.5967746291553
CZ,chemical,other-chemicals,other-chemicals-production-reference,490.5245158768137,kt ethylene eq.,1.0,490.5245158768137,kt_ethylene_eq_yr,490.5245158768137
CZ,chemical,pharmaceuticals,pharmaceuticals-production-reference,412.352789815161,kt ethylene eq.,1.0,412.352789815161,kt_ethylene_eq_yr,412.352789815161
CZ,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,12009.804159641466,TJ,277.78,3336083.399465206,mwh_yr,3336083.399465206
CZ,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,16919.568001876934,TJ,277.78,4699917.599561375,mwh_yr,4699917.599561375
CZ,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
CZ,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
CZ,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,75.95482489745376,kt,1.0,75.95482489745376,kt_yr,75.95482489745376
CZ,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,219.7674418604651,kt lead eq.,1.0,219.7674418604651,kt_lead_eq_yr,219.7674418604651
CZ,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,11392.32743244403,kt bricks eq.,1.0,11392.32743244403,kt_bricks_eq_yr,11392.32743244403
CZ,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,10356.466827168586,TJ,277.78,2876819.3552508894,mwh_yr,2876819.3552508894
CZ,pulp-and-paper,paper,paper-production-reference,828.9962408913033,kt,1.0,828.9962408913033,kt_yr,828.9962408913033
CZ,pulp-and-paper,printing-and-media,printing-and-media-production-reference,260.7390660964343,kt paper eq.,1.0,260.7390660964343,kt_paper_eq_yr,260.7390660964343
CZ,pulp-and-paper,pulp,pulp-production-reference,577.4144792652212,kt,1.0,577.4144792652212,kt_yr,577.4144792652212
CZ,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,3448.00321917775,TJ,277.78,957786.3342231953,mwh_yr,957786.3342231953
CZ,transport-equipment,transport-equipment,transport-equipment-production-reference,12508.407184774447,TJ,277.78,3474585.3477866454,mwh_yr,3474585.3477866454
CZ,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,4272.1807685358735,TJ,277.78,1186726.3738838949,mwh_yr,1186726.3738838949
DE,chemical,other-chemicals,other-chemicals-production-reference,8141.74150718065,kt ethylene eq.,1.0,8141.74150718065,kt_ethylene_eq_yr,8141.74150718065
DE,chemical,pharmaceuticals,pharmaceuticals-production-reference,3021.497553749924,kt ethylene eq.,1.0,3021.497553749924,kt_ethylene_eq_yr,3021.497553749924
DE,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,106681.52032082842,TJ,277.78,29633992.714719716,mwh_yr,29633992.714719716
DE,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,117001.66742010626,TJ,277.78,32500723.175957114,mwh_yr,32500723.175957114
DE,non-ferrous-metals,alumina,alumina-production-reference,1899.385163802225,kt,1.0,1899.385163802225,kt_yr,1899.385163802225
DE,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,500.0,kt,1.0,500.0,kt_yr,500.0
DE,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,645.9942310561496,kt,1.0,645.9942310561496,kt_yr,645.9942310561496
DE,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,2514.879008179959,kt lead eq.,1.0,2514.879008179959,kt_lead_eq_yr,2514.879008179959
DE,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,53899.14257918444,kt bricks eq.,1.0,53899.14257918444,kt_bricks_eq_yr,53899.14257918444
DE,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,98910.91394315043,TJ,277.78,27475473.675128322,mwh_yr,27475473.675128322
DE,pulp-and-paper,paper,paper-production-reference,23124.61,kt,1.0,23124.61,kt_yr,23124.61
DE,pulp-and-paper,printing-and-media,printing-and-media-production-reference,2213.18608695652,kt paper eq.,1.0,2213.18608695652,kt_paper_eq_yr,2213.18608695652
DE,pulp-and-paper,pulp,pulp-production-reference,2327.03,kt,1.0,2327.03,kt_yr,2327.03
DE,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,7728.117479426314,TJ,277.78,2146716.4734350415,mwh_yr,2146716.4734350415
DE,transport-equipment,transport-equipment,transport-equipment-production-reference,63678.600459114256,TJ,277.78,17688641.635532755,mwh_yr,17688641.635532755
DE,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,35098.29855202903,TJ,277.78,9749605.371782623,mwh_yr,9749605.371782623
DK,chemical,other-chemicals,other-chemicals-production-reference,579.2609731557014,kt ethylene eq.,1.0,579.2609731557014,kt_ethylene_eq_yr,579.2609731557014
DK,chemical,pharmaceuticals,pharmaceuticals-production-reference,310.2006608816703,kt ethylene eq.,1.0,310.2006608816703,kt_ethylene_eq_yr,310.2006608816703
DK,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,13761.163626724276,TJ,277.78,3822576.0322314687,mwh_yr,3822576.0322314687
DK,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,5237.451022889498,TJ,277.78,1454859.1451382446,mwh_yr,1454859.1451382446
DK,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
DK,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
DK,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
DK,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,0.0,kt lead eq.,1.0,0.0,kt_lead_eq_yr,0.0
DK,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,8938.570831633439,kt bricks eq.,1.0,8938.570831633439,kt_bricks_eq_yr,8938.570831633439
DK,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,6791.654388235627,TJ,277.78,1886585.7559640924,mwh_yr,1886585.7559640924
DK,pulp-and-paper,paper,paper-production-reference,298.7389387755102,kt,1.0,298.7389387755102,kt_yr,298.7389387755102
DK,pulp-and-paper,printing-and-media,printing-and-media-production-reference,39.98225047287209,kt paper eq.,1.0,39.98225047287209,kt_paper_eq_yr,39.98225047287209
DK,pulp-and-paper,pulp,pulp-production-reference,4.83,kt,1.0,4.83,kt_yr,4.83
DK,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,402.60190091109155,TJ,277.78,111834.756035083,mwh_yr,111834.756035083
DK,transport-equipment,transport-equipment,transport-equipment-production-reference,360.38512882006796,TJ,277.78,100107.78108363847,mwh_yr,100107.78108363847
DK,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,1095.8773467002736,TJ,277.78,304412.809366402,mwh_yr,304412.809366402
