configuration_id;configuration;configuration_product_id;horizon;is_mix;is_reference_route;configuration_active;data_source_id;configuration_abbreviation;configuration_description;configuration_remark;configuration_source;configuration_year;mix_2018;mix_2030;mix_2040;mix_2050
205;(NG+H2)DRI-EAF;20;NULL;0;0;1;0;RM/LM-CC/DRI-EAF/(NG+H2)SF;Rolling Mill,Ladle Metal. & Cont.Casting,DRI-Electric Arc Furnace,NG+H2 Shaft Furnace;NULL;NULL;2018;0;0;0;0
206;(NG+H2)DRI-EAF-AEL;20;NULL;0;0;1;0;RM/LM-CC/DRI-EAF/(NG+H2)SF/AEL;Rolling Mill,Ladle Metal. & Cont.Casting,DRI-Electric Arc Furnace,NG+H2 Shaft Furnace,Alkaline electrolyzer;NULL;NULL;2018;0;0;0;0
207;(H2)DRI-EAF;20;NULL;0;0;1;0;RM/LM-CC/DRI-EAF/(H2)SF;Rolling Mill,Ladle Metal. & Cont.Casting,DRI-Electric Arc Furnace,H2 Shaft Furnace;NULL;NULL;2018;0;0.0253;0.3071;0.5889
208;(H2)DRI-EAF-AEL;20;NULL;0;0;1;0;RM/LM-CC/DRI-EAF/(H2)SF/AEL;Rolling Mill,Ladle Metal. & Cont.Casting,DRI-Electric Arc Furnace,H2 Shaft Furnace,Alkaline electrolyzer;NULL;NULL;2018;0;0;0;0
209;MOE;20;NULL;0;0;1;0;RM/LM-CC/MOE;Rolling Mill,Ladle Metal. & Cont.Casting,Molten Oxide Electrolyser;NULL;NULL;2018;0;0;0.0265;0.053
210;EU-mix-2018;20;2018;1;0;1;0;BF/BOF/CP/LM-CC/PCoal/RM/SP;Blast furnace,Basic Oxygen Furnace,Coke Plant,Ladle Metal. & Cont.Casting,Pulverized Coal,Rolling Mill,Sinter Plant;NULL;NULL;2018;1;0;0;0
211;EU-mix-2030;20;2030;1;0;1;0;(H2)SF/(NG)DRI-MEA/(NG)SF/BF/BOF/CP/DRI-EAF/EAF-MEA/LM-CC/PCoal/PL/RM/SP/WPI-BP;H2 Shaft Furnace,DRI(NG) carbon capture,NG Shaft Furnace,Blast furnace,Basic Oxygen Furnace,Coke Plant,DRI-Electric Arc Furnace,Monoethanolamine carbon capture,Ladle Metal. & Cont.Casting,Pulverized Coal,Plastics pre-treatment for BF,Rolling Mill,Sinter Plant,Waste Plastic Injection BF;NULL;NULL;2018;0;1;0;0
212;EU-mix-2040;20;2040;1;0;1;0;(H2)SF/(NG)DRI-MEA/(NG)SF/BF/BOF/CP/DRI-EAF/EAF-MEA/LM-CC/MOE/PCoal/PL/RM/SP/WPI-BP;H2 Shaft Furnace,DRI(NG) carbon capture,NG Shaft Furnace,Blast furnace,Basic Oxygen Furnace,Coke Plant,DRI-Electric Arc Furnace,Monoethanolamine carbon capture,Ladle Metal. & Cont.Casting,Molten Oxide Electrolyser,Pulverized Coal,Plastics pre-treatment for BF,Rolling Mill,Sinter Plant,Waste Plastic Injection BF;NULL;NULL;2018;0;0;1;0
213;EU-mix-2050;20;2050;1;0;1;0;(H2)SF/(NG)DRI-MEA/(NG)SF/BF/BOF/CP/DRI-EAF/EAF-MEA/LM-CC/MOE/PCoal/PL/RM/SP/WPI-BP;H2 Shaft Furnace,DRI(NG) carbon capture,NG Shaft Furnace,Blast furnace,Basic Oxygen Furnace,Coke Plant,DRI-Electric Arc Furnace,Monoethanolamine carbon capture,Ladle Metal. & Cont.Casting,Molten Oxide Electrolyser,Pulverized Coal,Plastics pre-treatment for BF,Rolling Mill,Sinter Plant,Waste Plastic Injection BF;NULL;NULL;2018;0;0;0;1
214;Scraps EAF;21;NULL;0;1;1;0;RM/LM-CC/scrap/EAF;Rolling Mill,Ladle Metal. & Cont.Casting,EAF Scraps handling,Electric Arc Furnace;NULL;NULL;2018;1;1;1;1
